,ID,Title,Year,Rating,IMDb,Rotten Tomatoes,Genre,Netflix,Amazon Prime Video
24273,24274,West Beirut,1998,13+,7.7,58,Drama,1,0
24276,24277,Cake,2018,,7.7,51,Drama,1,0
24303,24304,Love You to the Stars and Back,2017,,7.5,50,Drama,1,0
24348,24349,Uma Maheswara Ugra Roopasya,2020,,7.9,53,Drama,1,0
24417,24418,Do Dooni Chaar,2010,7+,7.6,55,Drama,1,0
24423,24424,Harishchandrachi Factory,2009,all,8.4,57,Drama,1,0
24437,24438,Hazaaron Khwaishein Aisi,2003,,7.9,55,Drama,1,0
24487,24488,Love Ni Bhavai,2017,,8.4,55,Drama,1,0
24501,24502,Muramba,2017,7+,8.0,52,Drama,1,0
24526,24527,Rudy Habibie,2016,,7.5,51,Drama,1,0
24590,24591,Heaven Without People,2017,,7.9,53,Drama,1,0
